display_order,HPV_Type,Owner_Sample_ID,mq,min_align_len
1,B2M,hpv_type_list,45,101
2,HPV03,hpv_type_list,45,62
3,HPV06,hpv_type_list,45,62
4,HPV11,hpv_type_list,45,62
5,HPV13,hpv_type_list,45,68
6,HPV16,hpv_type_list,45,65
7,HPV18,hpv_type_list,45,68
8,HPV26,hpv_type_list,45,68
9,HPV28,hpv_type_list,45,62
10,HPV30,hpv_type_list,45,62
11,HPV31,hpv_type_list,45,65
12,HPV32,hpv_type_list,45,62
13,HPV33,hpv_type_list,45,62
14,HPV34,hpv_type_list,30,71
15,HPV35,hpv_type_list,45,65
16,HPV39,hpv_type_list,45,68
17,HPV40,hpv_type_list,45,68
18,HPV42,hpv_type_list,45,62
19,HPV43,hpv_type_list,45,68
20,HPV44,hpv_type_list,45,68
21,HPV45,hpv_type_list,45,68
22,HPV51,hpv_type_list,45,65
23,HPV52,hpv_type_list,45,62
24,HPV53,hpv_type_list,45,62
25,HPV54,hpv_type_list,30,62
26,HPV54_B_C_consensus,hpv_type_list,30,62
27,HPV55,hpv_type_list,45,68
28,HPV56,hpv_type_list,45,62
29,HPV58,hpv_type_list,45,62
30,HPV59,hpv_type_list,45,68
31,HPV61,hpv_type_list,45,65
32,HPV62,hpv_type_list,45,62
33,HPV64,hpv_type_list,45,71
34,HPV66,hpv_type_list,45,62
35,HPV67,hpv_type_list,45,62
36,HPV68a,hpv_type_list,45,68
37,HPV68b,hpv_type_list,45,68
38,HPV69,hpv_type_list,45,68
39,HPV70,hpv_type_list,45,68
40,HPV71,hpv_type_list,45,62
41,HPV72a,hpv_type_list,45,65
42,HPV73,hpv_type_list,45,71
43,HPV74,hpv_type_list,20,71
44,HPV74_EU911625,hpv_type_list,20,68
45,HPV74_EU911664,hpv_type_list,20,77
46,HPV74_U40822,hpv_type_list,20,68
47,HPV76,hpv_type_list,45,68
48,HPV81,hpv_type_list,45,62
49,HPV82,hpv_type_list,45,68
50,HPV82v,hpv_type_list,45,68
51,HPV83,hpv_type_list,45,62
52,HPV84,hpv_type_list,45,62
53,HPV85,hpv_type_list,45,68
54,HPV86,hpv_type_list,45,62
55,HPV87,hpv_type_list,45,62
56,HPV89,hpv_type_list,30,62
57,HPV90,hpv_type_list,45,62
58,HPV91,hpv_type_list,45,68
59,HPV97,hpv_type_list,45,68
60,HPV114,hpv_type_list,45,77
